PROTEINA	PROTEINB
RPL16A	RPL2B
RPL16A	RPL26A
RPL16A	RPL25
RPL16A	RPL3
RPL16B	RPL18B
RPL16B	RPL26A
RPL16B	RPL10
RPL16B	SXM1
RPL17A	RPL26A
RPL17A	RPL19A
RPL17A	RPL19B
RPL17B	RPL5
RPL17B	RPL3
RPL17B	RPL25
RPL17B	RPL10
RPL17B	RPL28
RPL17B	RPL19B
RPL17B	RPL19A
RPL17B	RPL2B
RPL17B	RPL26A
RPL18A	RPL16B
RPL19B	RPL4A
RPL1A	RPL3
RPL1A	RPL10
RPL1A	RPL25
RPL1A	RPL26A
RPL1B	RPL5
RPL1B	RPL3
RPL1B	RPL26A
RPL1B	RPL10
RPL1B	RPL25
RPL20A	RPL31B
RPL20A	RPL31A
RPL20B	RPL31B
RPL23A	RPL5
RPL23A	RPL3
RPL23A	RPL25
RPL23A	RPL26A
RPL23A	RPL10
RPL23A	RPL2B
RPL23A	RPL26B
RPL23A	RPL28
RPL23A	RPL35B
RPL23A	RPL35A
RPL23A	RPL19A
RPL23A	RPL19B
RPL23B	RPL5
RPL23B	RPL25
RPL23B	RPL26A
RPL23B	RPL10
RPL23B	RPL19B
RPL23B	RPL19A
RPL23B	RPL3
RPL25	RPL11A
RPL25	RPL26A
RPL25	RPL19B
RPL25	RPL4A
RPL25	RPL19A
RPL25	RPL17A
RPL25	RPL10
RPL25	RPP0
RPL25	RPL16B
RPL25	RPL9B
RPL26A	RPP0
RPL26A	RPL19A
RPL26A	RPL19B
RPL26A	RPL4A
RPL26B	RPL11A
RPL26B	RPP0
	
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL26B	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL28	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
RPL2B	large
